Cluster ID,confidence_score,Name,Latitude,Longitude,District,Road,Road_num,Building,Floor_num,Store_num,Source,Id
77,0.571440328,庙街,114.175263,22.30695,油尖旺區,鸦打街,18号,,,,携程,1066
77,0.571417367,庙街(香港),114.175339,22.305173,油尖旺区,庙街,,,,,马蜂窝,1683
81,0.571395661,鲤鱼门道,114.233526,22.30667,觀塘區,,,,,,携程,985
81,0.571377062,观塘鲤鱼门,114.24196,22.292654,观塘区,,,,,,马蜂窝,1820
89,0.571427028,大澳,114.0461,22.308832,离岛区,,,,,,携程,1052
89,0.571398338,大澳渔村,114.130136,22.535795,北區,,,,,,马蜂窝,1689
107,0.571417217,登山电梯,114.176924,22.231504,南区,,,,,,携程,838
107,0.571417217,登山缆车,114.180448,22.242645,南区,,,,,,马蜂窝,1830
115,0.5714467,嘉道理农场暨植物园,114.127685,22.435814,大埔區,,,,,,携程,5
115,0.5714467,嘉道理农场,114.12817,22.421469,大埔區,,,,,,马蜂窝,1825
163,0.571396557,车公庙,113.979363,22.393569,屯门区,,,,,,携程,912
163,0.571396617,大围车公庙,113.979363,22.393569,屯门区,,,,,,马蜂窝,1848
166,0.571424,摩罗街,114.154101,22.282641,中西區,,,,,,携程,690
166,0.571424,摩罗上街,114.154101,22.282641,中西區,,,,,,马蜂窝,1883
178,0.57142895,圣玛加利大堂,114.18936,22.271345,湾仔区,乐活道,2a号,,,,携程,848
178,0.57142895,圣玛加利教堂,114.189411,22.272828,湾仔区,跑马地乐活道,2b号,,,,马蜂窝,1920
183,0.57143795,志蓮淨苑 天王殿,114.210736,22.337977,黄大仙区,志莲道,,,,,携程,884
183,0.57143795,志莲净苑,114.210736,22.337977,黄大仙区,九龙钻石山志莲路,5号,,,,马蜂窝,1759
185,0.5714424,幻彩咏香江,114.175565,22.290511,油尖旺区,,,,,,携程,894
185,0.5714424,幻彩咏香江灯光秀,114.175565,22.290511,油尖旺区,,,,,,马蜂窝,1710
197,0.57140255,大棠有机生态园,114.032278,22.404652,元朗區,大棠山道,11号,,,,携程,973
197,0.57140255,大棠荔枝山庄,114.032278,22.404652,元朗區,大棠山道,11号,,,,马蜂窝,1899
204,0.57144463,域多利監獄旧址,114.158282,22.27811,中西區,赞善里,11号,,,,携程,1003
204,0.57144463,域多利监狱,114.15852,22.278679,中西區,,,,,,马蜂窝,1816
42,0.709923923,蒲台,114.163825,22.276284,,,,,,,携程,832
42,0.709923923,蒲台岛,114.264343,22.160751,离岛区,,,,,,马蜂窝,1751
43,0.586826866,香港警察学院,114.176606,22.244567,南區,海洋公园道,18,,,,携程,855
43,0.586826866,香港警察训练学院,114.176606,22.244567,南區,海洋公园道,18,,,,马蜂窝,1891
119,0.698933477,大館（前中区警署建築群）,114.1591,22.279114,中西區,荷李活道,10号,,,,携程,965
119,0.698933477,大馆,114.1591,22.279114,中西區,荷李活道,10号,,,,马蜂窝,1732
138,0.7499868,鹤咀,114.248337,22.218634,南區,,,,,,携程,990
138,0.7499868,鹤咀海岸保护区,114.248337,22.218634,南區,,,,,,马蜂窝,1841
